DATE,GDP,GDP_Standardized
1947-01-01,243.164,-0.9339813930283415
1947-04-01,245.968,-0.9336064413883214
1947-07-01,249.585,-0.9331227751679386
1947-10-01,259.745,-0.9317641772140852
1948-01-01,265.742,-0.930962256748607
1948-04-01,272.567,-0.9300496158987005
1948-07-01,279.196,-0.9291631842219196
1948-10-01,280.366,-0.9290067315047927
1949-01-01,275.034,-0.9297197279900238
1949-04-01,271.351,-0.9302122197482956
1949-07-01,272.889,-0.9300065579714228
1949-10-01,270.627,-0.9303090332245347
1950-01-01,280.828,-0.9289449527395682
1950-04-01,290.383,-0.9276672555496993
1950-07-01,308.153,-0.9252910463331662
1950-10-01,319.945,-0.9237142168969616
1951-01-01,336.0,-0.9215673379452768
1951-04-01,344.09,-0.9204855409524939
1951-07-01,351.385,-0.9195100515751946
1951-10-01,356.178,-0.9188691303160589
1952-01-01,359.82,-0.9183821210889
1952-04-01,361.03,-0.9182203195609313
1952-07-01,367.701,-0.9173282716327662
1952-10-01,380.812,-0.9155750651590485
1953-01-01,387.98,-0.9146165582561723
1953-04-01,391.749,-0.9141125665545904
1953-07-01,391.171,-0.9141898568712563
1953-10-01,385.97,-0.91488533600098
1954-01-01,385.345,-0.9149689111703853
1954-04-01,386.121,-0.9148651442400516
1954-07-01,390.996,-0.9142132579186899
1954-10-01,399.734,-0.9130448101902675
1955-01-01,413.073,-0.9112611154947506
1955-04-01,421.532,-0.9101299757219509
1955-07-01,430.221,-0.9089680802868099
1955-10-01,437.092,-0.9080492883044352
1956-01-01,439.746,-0.9076943947050723
1956-04-01,446.01,-0.906856770927224
1956-07-01,451.191,-0.9061639662029215
1956-10-01,460.463,-0.9049241118497592
1957-01-01,469.779,-0.9036783738046708
1957-04-01,472.025,-0.9033780380758957
1957-07-01,479.49,-0.9023798162525181
1957-10-01,474.864,-0.9029984062263888
1958-01-01,467.54,-0.9039777734915484
1958-04-01,471.978,-0.9033843229286349
1958-07-01,485.841,-0.9015305588110886
1958-10-01,499.555,-0.8996967190139286
1959-01-01,510.33,-0.8982558830933803
1959-04-01,522.653,-0.8966080481932488
1959-07-01,525.034,-0.8962896602278823
1959-10-01,528.6,-0.8958128137413229
1960-01-01,542.648,-0.8939343113736328
1960-04-01,541.08,-0.8941439847586369
1960-07-01,545.604,-0.8935390342524131
1960-10-01,540.197,-0.8942620597579728
1961-01-01,545.018,-0.8936173943312476
1961-04-01,555.545,-0.8922097210379194
1961-07-01,567.664,-0.8905891650730818
1961-10-01,580.612,-0.888857755003545
1962-01-01,594.013,-0.8870657696512232
1962-04-01,600.366,-0.8862162447692516
1962-07-01,609.027,-0.8850580935017
1962-10-01,612.28,-0.884623101459979
1963-01-01,621.672,-0.883367200674291
